"Genotype","Rep","WeightPlant","WeightPlot","Yield","asc_acid","saudpc","taste"
"102.18",1,1.369,13.69,50.7037037037037,19.0236241947751,8,6
"104.22",1,1.116,11.16,41.3333333333333,24.3129451404422,5,9
"121.31",1,1.524,15.24,56.4444444444444,18.5328356426227,12,3
"141.28",1,1.881,18.81,69.6666666666667,18.4167427692578,2,3
"157.26",1,1.92405,19.2405,71.2611111111111,20.5818943074903,4,8
"163.9",1,0.738833333333333,6.6495,27.3641975308642,13.6850882550317,6,9
"221.19",1,1.25666666666667,11.31,46.5432098765432,17.4256745959942,3,5
"233.11",1,1.098,10.98,40.6666666666667,23.7011309116153,4,5
"235.6",1,1.617,16.17,59.8888888888889,18.549365765425,5,9
"241.2",1,1.2,12,44.4444444444444,21.7936538575939,4,4
"255.7",1,1.1461875,9.1695,42.4513888888889,20.6240883414478,6,7
"314.12",1,1.45625,11.65,53.9351851851852,17.2961754309007,3,8
"317.6",1,1.929,19.29,71.4444444444444,16.7421602442753,4,6
"319.20",1,2.224,22.24,82.3703703703704,15.918863500817,2,5
"320.16",1,1.245,12.45,46.1111111111111,19.9447393880289,9,4
"342.15",1,1.0619375,8.4955,39.3310185185185,16.7821185078834,8,4
"346.2",1,0.829,8.29,30.7037037037037,19.94414835927,2,7
"351.26",1,1.764,17.64,65.3333333333333,18.3024816437833,7,8
"364.21",1,1.17333333333333,10.56,43.4567901234568,16.5087579617403,4,2
"402.7",1,1.565,15.65,57.962962962963,13.2972050682639,1,10
"405.2",1,1.255,12.55,46.4814814814815,25.3474264900749,4,6
"406.12",1,1.17,11.7,43.3333333333333,13.9846626609984,4,2
"427.7",1,1.793,17.93,66.4074074074074,19.614623337643,1,7
"450.3",1,1.1824,11.824,43.7925925925926,15.3736183861004,6,5
"506.2",1,1.544,15.44,57.1851851851852,18.3499211450383,4,12
"Canchan",1,1.3495,13.495,49.9814814814815,21.1634602926786,4,6
"Desiree",1,0.71,6.39,26.2962962962963,15.5144001451262,5,9
"Unica",1,1.3992,13.992,51.8222222222222,18.1049916508235,3,4
"102.18",2,1.26,12.6,46.6666666666667,13.1701867154128,9,8
"104.22",2,1.48888888888889,13.4,55.1440329218107,20.4064860290151,7,3
"121.31",2,1.731,17.31,64.1111111111111,22.9531646265005,11,7
"141.28",2,2.454,24.54,90.8888888888889,23.6469343803314,6,4
"157.26",2,2.25877777777778,20.329,83.6584362139918,24.1388630719315,6,7
"163.9",2,0.8,8,29.6296296296296,15.2135100015848,6,1
"221.19",2,0.915,9.15,33.8888888888889,15.5190246029213,4,5
"233.11",2,1.546,15.46,57.2592592592593,22.4840259163742,6,6
"235.6",2,1.57,15.7,58.1481481481481,24.5859419390585,2,3
"241.2",2,1.281,12.81,47.4444444444444,22.1730896879649,3,5
"255.7",2,1.024,10.24,37.9259259259259,17.4077907095577,5,5
"314.12",2,1.86666666666667,5.6,69.1358024691358,16.0877660015904,6,5
"317.6",2,1.578,15.78,58.4444444444444,20.6029193352063,4,4
"319.20",2,2.68245,26.8245,99.35,16.3745744910682,2,10
"320.16",2,1.2805,12.805,47.4259259259259,13.3045474564847,7,10
"342.15",2,0.888888888888889,8,32.9218106995885,14.7066387081258,7,8
"346.2",2,0.916,9.16,33.9259259259259,21.3028073552908,10,4
"351.26",2,2.32495,23.2495,86.1092592592593,15.7074924237487,8,5
"364.21",2,1.8,18,66.6666666666667,24.4016259543042,6,5
"402.7",2,1.256,12.56,46.5185185185185,15.7380653571013,3,5
"405.2",2,0.834,8.34,30.8888888888889,16.3103419753161,4,6
"406.12",2,1.73666666666667,15.63,64.320987654321,23.8687151279777,1,5
"427.7",2,1.18222222222222,10.64,43.7860082304527,20.419677240107,3,4
"450.3",2,2.0192,20.192,74.7851851851852,13.8120278861966,5,6
"506.2",2,1.227,12.27,45.4444444444444,16.2381967264949,8,7
"Canchan",2,1.5845,15.845,58.6851851851852,16.0785159443337,4,5
"Desiree",2,0.835625,6.685,30.9490740740741,24.0173630906926,4,5
"Unica",2,1.63115,16.3115,60.412962962963,19.3577778888455,5,4
"102.18",3,1.16,11.6,42.962962962963,17.5236117868119,3,6
"104.22",3,1.479,14.79,54.7777777777778,19.5937226740389,8,5
"121.31",3,1.905,19.05,70.5555555555556,15.6826010418745,10,2
"141.28",3,1.948,19.48,72.1481481481482,22.4554677277104,9,6
"157.26",3,2.053,20.53,76.037037037037,16.6099392700988,3,5
"163.9",3,1.05555555555556,9.5,39.0946502057613,16.2614072963645,3,4
"221.19",3,1.348,13.48,49.9259259259259,22.490031195347,2,4
"233.11",3,1.19,11.9,44.0740740740741,23.5919137178919,2,7
"235.6",3,1.36,13.6,50.3703703703704,24.8249068511575,2,6
"241.2",3,1.265,12.65,46.8518518518519,19.3143823717114,1,8
"255.7",3,1.134,11.34,42,19.6754086742065,8,5
"314.12",3,1.314,13.14,48.6666666666667,22.6062186042193,2,4
"317.6",3,1.678,16.78,62.1481481481482,21.1167251260736,8,3
"319.20",3,2.125,21.25,78.7037037037037,22.0266585298933,4,6
"320.16",3,0.981,9.81,36.3333333333333,16.6344951350306,6,3
"342.15",3,1.192,11.92,44.1481481481481,25.8056457742886,7,11
"346.2",3,0.85,8.5,31.4814814814815,19.7448886758888,5,7
"351.26",3,1.745,17.45,64.6296296296296,20.5854683914656,4,9
"364.21",3,1.649,16.49,61.0740740740741,22.7823954859962,7,8
"402.7",3,1.21,12.1,44.8148148148148,18.5752280544754,6,2
"405.2",3,1.415,14.15,52.4074074074074,16.1180129891367,7,6
"406.12",3,1.434,14.34,53.1111111111111,17.7121051718125,5,8
"427.7",3,1.75,17.5,64.8148148148148,17.4522265905245,4,3
"450.3",3,2.65,18.55,98.1481481481482,21.3308380697938,2,10
"506.2",3,1.54222222222222,13.88,57.119341563786,25.1990624003233,9,6
"Canchan",3,1.865,18.65,69.0740740740741,27.4450853620233,6,10
"Desiree",3,0.676,6.76,25.037037037037,16.0272121977491,4,5
"Unica",3,1.63,16.3,60.3703703703704,21.4622245135867,4,4
