"Genotype","Rep","WeightPlant","WeightPlot","Yield","asc_acid","saudpc","taste"
"102.18",1,0.325,3.25,12.037037037037,20.6118888562072,5,8
"104.22",1,0.47,4.7,17.4074074074074,13.4889688818725,3,5
"121.31",1,0.12,0.6,2.22222222222222,17.8837770844252,4,7
"141.28",1,0.36,3.6,13.3333333333333,22.9807911785253,5,8
"157.26",1,0.4,4,14.8148148148148,20.0609063485348,4,3
"163.9",1,0.511111111111111,4.6,17.037037037037,22.3228531634139,3,3
"221.19",1,0.142,1.42,5.25925925925926,14.812721115103,4,6
"233.11",1,0.394444444444444,3.55,13.1481481481481,17.305533727684,9,2
"235.6",1,0.415,4.15,15.3703703703704,25.7694970098313,7,7
"241.2",1,0.308,3.08,11.4074074074074,18.6529868232615,5,7
"255.7",1,0.484,4.84,17.9259259259259,20.334531061762,6,8
"314.12",1,0.096,0.96,3.55555555555555,23.3514438378917,1,1
"317.6",1,0.355555555555556,3.2,11.8518518518519,15.5754748539788,6,6
"319.20",1,0.598,5.98,22.1481481481481,18.3277257712791,3,5
"320.16",1,0.34,3.4,12.5925925925926,20.7111098916831,5,6
"342.15",1,0.54,5.4,20,18.2874200966411,9,10
"346.2",1,0.45,4.5,16.6666666666667,22.1311312047083,6,6
"351.26",1,0.58,5.8,21.4814814814815,19.8995789462351,5,3
"364.21",1,0.39,3.9,14.4444444444444,22.6562203359967,4,6
"402.7",1,0.41,4.1,15.1851851851852,24.1194039952149,7,9
"405.2",1,0.45,4.5,16.6666666666667,17.2705260208328,2,4
"406.12",1,0.35,3.5,12.962962962963,19.8633506733884,2,8
"427.7",1,0.51,5.1,18.8888888888889,21.3206657944204,8,7
"450.3",1,0.31,3.1,11.4814814814815,20.9393209518417,5,6
"506.2",1,0.55,5.5,20.3703703703704,18.8020153442423,6,7
"Canchan",1,0.18,1.8,6.66666666666667,27.3627895124161,5,3
"Desiree",1,0.283333333333333,2.55,9.44444444444444,23.1639179268476,1,3
"Unica",1,0.55,5.5,20.3703703703704,23.5425516291373,6,6
"102.18",2,0.4,3.6,13.3333333333333,23.5090345124673,4,2
"104.22",2,0.38,3.8,14.0740740740741,13.1606512540172,3,6
"121.31",2,0.25,0.75,2.77777777777778,23.3719244171994,6,1
"141.28",2,0.508,5.08,18.8148148148148,15.1236903423101,5,5
"157.26",2,0.82,8.2,30.3703703703704,23.5870384462012,5,5
"163.9",2,0.27,2.7,10,15.5426976780361,10,5
"221.19",2,0.23,2.3,8.51851851851852,19.3262723957252,6,4
"233.11",2,0.288888888888889,2.6,9.62962962962963,22.7009321190489,8,8
"235.6",2,0.51,5.1,18.8888888888889,16.7847537277732,4,1
"241.2",2,0.37,3.7,13.7037037037037,20.9443258057343,4,6
"255.7",2,0.52,5.2,19.2592592592593,20.4899350616244,5,8
"314.12",2,0.45,4.5,16.6666666666667,15.4868564443594,8,5
"317.6",2,0.33,3.3,12.2222222222222,21.5866896190308,3,5
"319.20",2,0.66,6.6,24.4444444444444,25.4169903865742,3,4
"320.16",2,0.454,4.54,16.8148148148148,18.2383128471686,2,10
"342.15",2,0.561111111111111,5.05,18.7037037037037,16.3296704093341,3,13
"346.2",2,0.52,5.2,19.2592592592593,16.0767003901647,4,6
"351.26",2,0.55,5.5,20.3703703703704,23.3943922020906,1,7
"364.21",2,0.265,2.65,9.81481481481481,23.4461518294605,10,5
"402.7",2,0.32,3.2,11.8518518518519,15.3100589680378,5,5
"405.2",2,0.43,4.3,15.9259259259259,23.8617835691254,5,4
"406.12",2,0.35,3.5,12.962962962963,22.3157432092633,5,8
"427.7",2,0.55,5.5,20.3703703703704,21.2224864004416,6,5
"450.3",2,0.43,4.3,15.9259259259259,22.2750008508819,4,9
"506.2",2,0.51,5.1,18.8888888888889,21.3057103016161,6,4
"Canchan",2,0.19,1.9,7.03703703703704,19.8441024926581,2,10
"Desiree",2,0.21,2.1,7.77777777777778,20.5263746270397,9,13
"Unica",2,0.468,4.68,17.3333333333333,28.4440460692529,3,2
"102.18",3,0.41,4.1,15.1851851851852,20.5733751500787,7,4
"104.22",3,0.45,4.5,16.6666666666667,21.1150064687512,5,6
"121.31",3,0.19,0.68,2.5,20.621407389032,6,6
"141.28",3,0.69,6.9,25.5555555555556,21.3103243929899,9,7
"157.26",3,0.72,7.2,26.6666666666667,22.2904663187385,3,7
"163.9",3,0.333333333333333,3,11.1111111111111,18.2351514662483,5,7
"221.19",3,0.32,3.2,11.8518518518519,22.0513823612126,2,5
"233.11",3,0.45,4.5,16.6666666666667,20.9846824583019,9,8
"235.6",3,0.274,2.74,10.1481481481481,16.0688421006336,7,7
"241.2",3,0.244444444444444,2.2,8.14814814814815,26.6101269261242,5,7
"255.7",3,0.55,5.5,20.3703703703704,20.5541877306486,5,7
"314.12",3,0.145,1.45,5.37037037037037,19.3529111977535,4,5
"317.6",3,0.55,5.5,20.3703703703704,21.8706333492117,7,6
"319.20",3,0.46,4.6,17.037037037037,19.0415590951607,5,11
"320.16",3,0.344444444444444,3.1,11.4814814814815,11.4730025064018,0,8
"342.15",3,0.38,3.8,14.0740740740741,23.2969919571345,3,6
"346.2",3,0.49,4.9,18.1481481481481,23.6888196657938,11,6
"351.26",3,0.52,5.2,19.2592592592593,18.2190952117966,3,7
"364.21",3,0.44,4.4,16.2962962962963,21.9800458931268,2,3
"402.7",3,0.31,3.1,11.4814814814815,19.3752329015474,4,8
"405.2",3,0.48,4.8,17.7777777777778,20.2698102112785,8,8
"406.12",3,0.42,4.2,15.5555555555556,18.6592302550201,1,6
"427.7",3,0.66,6.6,24.4444444444444,22.4133611926256,3,4
"450.3",3,0.51,5.1,18.8888888888889,25.2428803930544,2,6
"506.2",3,0.41,4.1,15.1851851851852,22.0871626630149,9,3
"Canchan",3,0.41,4.1,15.1851851851852,24.4086414433113,1,3
"Desiree",3,0.388888888888889,3.5,12.962962962963,21.4836341175968,9,3
"Unica",3,0.46,4.6,17.037037037037,32.8687275072561,4,3
